"TRIP_ID","area_1","area_2","area_3","area_4","area_5","area_6","area_7","area_8","area_9","area_10","area_11","area_12","area_13","area_14","area_15"
1097,NA,NA,76440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79080
1098,NA,NA,NA,NA,NA,NA,NA,NA,100020,134880,NA,NA,NA,NA,272280
1099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720
1100,NA,17340,NA,NA,NA,NA,NA,NA,NA,NA,16260,NA,NA,NA,1288140
1101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98700
1105,NA,NA,NA,NA,NA,68820,NA,NA,NA,NA,NA,NA,NA,NA,81240
1106,NA,NA,52500,NA,10080,NA,NA,NA,NA,NA,NA,NA,NA,NA,65400
1109,NA,NA,NA,NA,27000,NA,NA,NA,NA,NA,NA,NA,NA,NA,27000
1110,NA,NA,NA,NA,1035660,NA,NA,NA,NA,NA,NA,NA,NA,NA,1035660
1111,NA,NA,63840,NA,119160,NA,NA,NA,NA,NA,NA,NA,NA,NA,186120
1112,NA,NA,61080,NA,NA,NA,NA,NA,27840,NA,NA,NA,NA,NA,103440
1114,NA,NA,268380,70920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377100
1115,NA,NA,NA,NA,NA,NA,NA,NA,NA,145080,NA,NA,NA,NA,172800
1116,NA,NA,NA,51960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108540
1117,NA,NA,NA,NA,NA,52380,NA,NA,NA,NA,NA,NA,NA,NA,54060
1118,NA,NA,87900,NA,NA,13320,NA,NA,NA,NA,NA,NA,NA,NA,103980
1119,NA,NA,29040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54780
1120,120,147180,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,1260,NA,155160
1122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11460,NA,11460
1124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6840,NA,10140
1125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,NA,37320
1126,NA,NA,72180,NA,NA,94860,NA,NA,NA,820500,NA,NA,NA,NA,1022100
1127,NA,NA,NA,NA,NA,156000,NA,NA,NA,NA,NA,NA,NA,NA,158220
1128,NA,NA,110640,NA,NA,104640,NA,NA,NA,843120,11520,NA,NA,NA,1090260
1129,NA,NA,92160,NA,NA,NA,NA,NA,NA,NA,98280,NA,NA,NA,195660
1130,NA,NA,77820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80580
1131,NA,NA,94860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97680
1132,NA,NA,116400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,751380
1133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800880
1134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1818060
1135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134040
1136,NA,NA,NA,NA,7500,328140,NA,NA,NA,NA,NA,NA,NA,NA,381660
1137,NA,NA,NA,NA,NA,113040,NA,NA,NA,153180,NA,NA,NA,NA,302400
1138,NA,NA,NA,NA,NA,48420,NA,NA,NA,203460,NA,NA,NA,NA,256740
1139,NA,NA,NA,NA,NA,228960,NA,NA,NA,NA,NA,NA,NA,NA,228960
1140,NA,NA,NA,NA,NA,210240,NA,NA,NA,NA,NA,NA,NA,NA,210240
1141,NA,NA,NA,NA,2340,20520,NA,NA,NA,NA,NA,NA,NA,NA,26820
1142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,767400
1143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25860
1145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19080
1146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13680
1147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15480
1148,NA,NA,NA,NA,NA,345720,NA,NA,NA,NA,NA,NA,NA,NA,357060
