TRIP_ID,area_1,area_2,area_3,area_4,area_5,area_6,area_7,area_8,area_9,area_10,area_11,area_12,area_13,area_14,area_15,MMSI,VESSEL_TYPE
25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40860,209283000,Container Ship
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80700,209283000,Container Ship
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45360,209283000,Container Ship
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55140,209283000,Container Ship
29,NA,NA,NA,NA,NA,NA,NA,12840,NA,NA,NA,NA,NA,NA,18060,209366000,General Cargo
31,NA,NA,49500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51420,209857000,Container Ship
32,NA,NA,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5880,209857000,Container Ship
33,NA,NA,36600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38160,209857000,Container Ship
34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10500,NA,NA,NA,16440,210047000,General Cargo
36,NA,NA,36960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38220,210585000,Container Ship
