imo,MMSI,ais.type,call.Sign,flag,gross.tonnage,deadweight,length,width,image.src,ship.type,name,vessel.type
9045601,248864000,Cargo,9HUD6,Malta [MT],6055,8764,130,86,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=862598&size=,General Cargo,MEHMET BEY,General Cargo
9473171,248150000,Cargo,9HA2207,Malta [MT],41342,76000,225,32,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=427556&size=,Bulk Carrier,KEA,Bulk Carrier
NA,412440266,Fishing,0000000,China [CN],NA,NA,48,7,http://www.marinetraffic.com/img/no_photo.png,Fishing,FU YUAN YU 371,Fishing Vessel
9621546,566347000,Other,9V9391,Singapore [SG],1736,1336,59,25,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1106368&size=,Offshore Supply Ship,GEO SERVICE I,Offshore Supply Ship
9625516,563347000,Other,9VXD8,Singapore [SG],51437,34000,228,93,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1112251&size=,Drill Ship,BOLETTE DOLPHIN,Drill Ship
9531715,372995000,Cargo,3FHH5,Panama [PA],58750,18013,199,98,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=273442&size=,Ro-Ro Cargo,BESS,Passenger
9488578,636092057,Cargo,A8VY5,Liberia [LR],33033,56806,189,94,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1095664&size=,Bulk Carrier,ENDEAVOUR STRAIT,Bulk Carrier
9260811,247098700,Tanker,IBJP,Italy [IT],59574,110673,244,5,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=239057&size=,Tanker,MARE ADRIACUM,Tanker
9580120,538004355,Cargo,V7WO7,Marshall Is [MH],23440,34416,180,29,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=664298&size=,Bulk Carrier,GOLF,Bulk Carrier
8733378,224706000,Fishing,EBRL,Spain [ES],355,NA,NA,2000,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=2234217&size=,Trawler,RELEIXO,Trawler
9365879,271043028,Cargo - Hazard B,TCTX2,Turkey [TR],21092,26650,182,98,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1116410&size=,Container Ship,KAAN KALKAVAN,Container Ship
NA,577136000,Unspecified,YJTE9,Vanuatu [VU],NA,NA,NA,NA,http://www.marinetraffic.com/img/no_photo.png,Unspecified,MALONGO TIDE,Unspecified
6620084,242135100,Fishing,CNA4682,Morocco [MA],948,NA,55,51,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=981615&size=,Fishing Vessel,AL WAFAE,Fishing Vessel
9152272,403525001,Cargo,HZEW,Saudi Arabia [SA],48154,49844,276,5,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=167856&size=,Container Ship,AL RAIN,Container Ship
9250737,311578000,Tanker,C6FW5,Bahamas [BS],79668,151736,269,2,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=805339&size=,Oil Products Tanker,AFRICAN SPIRIT,Tanker
NA,242400000,Unspecified,CNMO,Morocco [MA],NA,NA,20,2,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1469561&size=,Unspecified,CABO NEGRO,Unspecified
9380817,370261000,Cargo,3ESC5,Panama [PA],22718,37296,177,8,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=124769&size=,General Cargo,CIELO DI TOKYO,General Cargo
9430272,563944000,Tanker,9VGA8,Singapore [SG],29130,46100,183,32,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=143106&size=,Oil/Chemical Tanker,ALPINE ETERNITY,Tanker
9473626,636014603,Cargo,A8VG2,Liberia [LR],27213,25486,199,93,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1143199&size=,Container Ship,GSL AFRICA,Container Ship
9202053,304653000,Cargo,V2OQ7,Antigua Barbuda [AG],13066,20140,153,22,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=257715&size=,General Cargo,MARCHICORA,General Cargo
9636503,355844000,Tug,HP5726,Panama [PA],613,500,40,75,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1090882&size=,Tug,SL LIBREVILLE,Tug
